| Jan ??, 2000 | Russian Illegals Juan Lazaro and Vicky Pelaez surveilled in an unidentified South American country
| Jul 08, 2010 | @FoxNews: "Aaaand they're guilty: Russian spy ring pleads out in federal court, setting stage for largest spy swap since the Cold War" (12:49pm)
| Jul 08, 2010 | @AP: "Russia plans to release four people in the spy swap with the U.S." (1:26PM)
| Jul 08, 2010 | @markknoller: "All three networks lead tonight with the Russian spy guilty pleas and deal for a spy swap." (3:31pm)
| Jul 08, 2010 | @ABC30: "10 Russian agents who pleaded guilty in NY spy case are deported, part of Cold War-style swap (AP)" (7:35pm)
| Jul 08, 2010 | WaPo: "U.S., Russia negotiating swap of spy suspects"
| Jul 08, 2010 | Fox News: "10 Russian Spies Deported After N.Y. Guilty Pleas"
| Jul 09, 2010 | @SkyNewsBreak: "US flight carrying deported Russian agents lands in Vienna as part of landmark spy swap deal" (2:25am)
| Jul 09, 2010 | @BreakingNews: "Update: Russian plane carrying agents takes off from Vienna airport following spy swap" (3:41am)
| Jul 09, 2010 | @nytimes: "NYT NEWS ALERT: U.S. Official Confirms Prisoner Swap With Russia" (4:42am)
| Jul 09, 2010 | Pete Earley: "Sergei Tretyakov, Russian Spy ‘Comrade J,’ Dead at 53" (5:00am)
| Jul 09, 2010 | @dimitriWTOP: "Former Russian Master Spy Sergei Tretyakov (the subject of a recent WTOP series) is dead." (5:47am)
| Jul 09, 2010 | @BreakingNews: "UPDATE: US Justice Department announces successful completion to the spy swap." (7:07am)
| Jul 09, 2010 | Pete Earley: "Sergei Tretyakov, Russian Spy ‘Comrade J,’ Dead at 53" (5:00am) [see: Jul 10, 2018 Pete Earley]
| Jul 09, 2010 | @hhowardWTOP: "WH official: #US considered idea of #spy swap as early as June 11 - well ahead of arrests." (11:28am)
| Jul 09, 2010 | @MajorCBS: "POTUS 1st briefed on emerging evidence in Feb., idea of swap 1st dicussed 6/11" (12:33pm)
| Jul 09, 2010 | @markknoller: "New info on the Russian spy case and swap. The White House was first briefed about the spy matter in February." (1:22pm)
| Jul 09, 2010 | @10101WINS: "PIC: Spy Swap Plane Thought to Have Landed at Dulles" (4:06pm)
| Jul 09, 2010 | Fox News: "U.S. Began Deliberating Spy Swap Well Before Arrests" 
| Jul 09, 2010 | NYT: "Sergei Tretyakov, Spy Who Fled to U.S., Dies at 53"
| Jul 10, 2010 | Pete Earley: "Sergei’s Death. Mistakes. Nonsense and a Chuckle"
| Jul 12, 2010 | WaPo: "Sources: Call by Russian spy Anna Chapman to dad in Moscow led U.S. to hasten arrests"
| Jul 26, 2010 | WSJ: "Putin Sings With Deported Agents"
| Sep 20, 2010 | @batchelorshow: "quite the new york welcome for mahmoud ahmadinejad!"
| Sep 21, 2010 | Seattle Times: "Autopsy: Defected Russian spy chief choked on meat" (Tretyakov)
| Sep 21, 2010 | Leaked email from Fred Burton (Stratfor) says then-U.S. Homeland Security Advisor John Brennan is behind DC witch hunt
| Sep 26, 2010 | Herald Tribune: "An espionage mystery solved on an autopsy slab"
| Oct 01, 2010 | Bloomberg: "Bayrock’s Arif Detained in Turkish Vice Raid on Yacht"
| Nov 10, 2010 | Sputnik: "FBI takes Russia spy ring traitor under protection" (Poteyev)
| Nov 10, 2010 | The Telegraph: "Ex-KGB soldier named as double agent who exposed Anna Chapman spy ring" (Poteyev)
| Nov 11, 2010 | Kommersant.ru: "Fresh Betrayal - Kommersant found out who passed the network of Russian intelligence officers-illegal immigrants to the American special services"
| Nov 12, 2010 | Wired: ""Which One of You Snitched on Anna? Russian Prez Wants Answers on Spy Ring Breakup"
| Nov 15, 2010 | Moscow Times: "Defector May Have Been Recruited Years Ago" (Poteyev)
| Dec 27, 2010 | @ReutersIndia: "US Secy Of State Clinton: Khodorkovsky trial raises questions "about rule of law" being overshadowed by political considerations"
| Dec 28, 2010 | Vladimir Poteyev (son of Colonel Poteyev) sets up Newtop, LLC at address listed in Trump Plaza (Sunny Isles Beach, FL)
| Mar 03, 2011 | AP: "BREAKING: US has proof that ex-FBI agent Robert Levinson is alive, 4 years after vanishing in Iran -CC"
| May 03, 2011 | BBC: "Russia charges US spy ring 'traitor' Alexander Poteyev"
| Jun 27, 2011 | @burgessct: "Moscow military court sentences Russian Alexander Poteyev to 25 years for treason"
| Nov 01, 2011 | Daily Mail: "Did Russian spy get close to infiltrating Hillary Clinton's inner circle?"
| Nov ??, 2011 | Trump settles SoHo case, refunds 90 percent of $3.16m in deposits, admits no wrondoing [see: Apr 5, 2016 NYT]
| Nov 05, 2011 | Gulf News Asia: "From Russia with love: Evidence from a ten-year FBI investigation into a team of spies is made public for the first time"
| Dec 06, 2011 | CNN: "Clinton cites 'serious concerns' about Russian election"
| ??? ??, 2012 | SVR official, Evgeny Buryakov, works undercover as a banker at a Vnesheconombank office in Manhattan
| ??? ??, 2012 | Carter Page begins working for NY FBI counterintelligence
| Mar 09, 2012 | @RebeccaJarvis : "Robert Levinson went missing in Iran 3/9/07"
| Apr 17, 2012 | General Flynn nominated DIA Director (assumed position Jul 2012) [see: May 9, 2017 NYDN]
| Sep 06, 2012 | Reuters: "Security startup CrowdStrike hires one of FBI's top lawyers"
| Sep 08, 2012 | NYT: "Clinton Tells Russia That Sanctions Will Soon End"
| Nov 06, 2012 | BBC: "President Barack Obama defeats Romney to win re-election"
| Nov 09, 2012 | The Guardian: "CIA director David Petraeus resigns over 'unacceptable' extramarital affair"
| Dec 12, 2012 | Reuters: "HSBC to pay $1.9 billion U.S. fine in money-laundering case"
| Jan 30, 2013 | HSBC.com: "Former US Deputy Attorney General joins HSBC Board" (Comey)
| Mar ??, 2013 | Justin Cooper gives Monica Hanley MacBook laptop, remotely transfers HRC emails to Apple mail program
| Mar 08, 2013 | NPR: "John Brennan Is Sworn In As CIA Director"
| Mar 28, 2013 | Institutional Investor: "Still Bullish on Ireland, Wilbur Ross Eyes Southern Europe" (Cyprus)
| Jun ??, 2013 | Carter Page meets with FBI at New York's Plaza Hotel regarding ongoing investigation
| Jun 06, 2013 | Ukrainian Embassy in U.S. shares on Facebook a photo of FBI Director Mueller with Ukraine President Viktor Yanukovytch
| Jun 13, 2013 | @RobinLeach: "Donald Trump, Miss Universe sign document with Russian partner for Miss USA move to Moscow November 9"
| Jun 13, 2013 | Trump: 'The Miss Universe Pageant will be broadcast live from MOSCOW, RUSSIA on November 9th."
| Jun 30, 2013 | Platte River Networks server ("successor server", runs until Oct 2015)
| Jul 08, 2013 | BBC: "Donald Trump sued over failed Florida deal"
| Jul 08, 2013 | The Independent: "Donald Trump walks out over questions about his mafia connections during BBC Panorama interview"
| Sep 05, 2013 | NYDN: "James Comey sworn in as director of FBI"
| Oct 13, 2013 | Mikk Marran nominated to Director General of the Estonian Information Board
| Nov 11, 2013 | MSNBC: "Why bring Miss Universe to Moscow?"
| Nov 24, 2013 | The Guardian: "Ukrainian protesters flood Kiev after president pulls out of EU deal"
| Dec 13, 2013 | NYT: "A Disappearing Spy, and a Scandal at the C.I.A." (Levinson)
| Dec ??, 2013 | Trump meets with GOP county chairs in Trump Tower, says he'll win 2016 nomination [see: Feb 1, 2016 Politico]
| Jan 27, 2014 | Lawfare: "Jim Baker Appointed as FBI General Counsel"
| Feb ??, 2014 | Monica Hanley uploads HRC email archives to PRN server from MacBook laptop, fails, sends laptop to Combetta
| Feb 13, 2014 | Buzzfeed: "36 Hours On The Fake Campaign Trail With Donald Trump"
| Feb 17, 2014 | NYPost: "Trump fires top advisor & political consultant Sam Nunberg"
| Feb 20, 2014 | NYT: "E.U. Imposes Sanctions Despite Russian Criticism"
| Mar 18, 2014 | The Guardian: "Putin confirms Crimea annexation as Ukraine soldier becomes first casualty"
| Mar 21, 2014 | NYT: "As Sanctions Start, Russia Feels a Sting"
| Apr 12, 2014 | @BenjySarlin: "@realDonaldTrump on rehiring Sam Nunberg: 'He's a good guy and I didn't think it was fair to him that somebody took advantage of him'"
| Apr 14, 2014 | NYT: "With Ukraine Tensions Mounting, U.S. Weighs New Sanctions Against Russia "
| Apr 17, 2014 | NYT: "Russia Economy Worsens Even Before Sanctions Hit"
| Apr 28, 2014 | @markknoller: "Officials say Sergi Chemezov and Igor Sechin are the two sanctions targets...Putin's inner circle"
| Apr 30, 2014 | Business Insider: "Michael T. Flynn Fired from DIA"
| May ??, 2014 | Michael Gaeta joined the FBI’s Legal Attaché Office in Rome as the Assistant Legal Attaché
| May 13, 2014 | Joe Biden's Son Appointed to Board of Ukraine's Largest Gas Producer
| May 15, 2014 | Evan Perez indicates wiretapping of Paul Manafort began sometime in 2014
| Jun ??, 2014 | Buryakov meets multiple times with confidential sources for the FBI
| Jun 14, 2014 | Veselnitskaya goes to House hearing on "U.S. Policy Toward Putin's Russia", sits behind Michael McFaul
| Jul 12, 2014 | Press of Atlantic City: "Trump Plaza owners confirm plan to close in September"
| Jul 17, 2014 | FinCEN issues notice that it finds FBME to be of primary money laundering concern [see: Jul 23, 2015 FinCEN]
| Jul 29, 2014 | Fox Business: "Wilbur Ross on investing in Bank of Cyprus" ($1.3b)
| Jul 31, 2014 | NYT: "Inquiry by C.I.A. Affirms It Spied on Senate Panel"
| Aug 22, 2014 | NYMag: "Russia Inching Closer to War in Ukraine With Convoy ‘Invasion’"
| Sep ??, 2014 | Alexander Poteyev targeted by Russian hitman around this time, moves to a different house [see: Oct 2, 2018 BBC]
| Oct ??, 2014 | Flynn Intel Group starts [see: Nov 11, 2016 Daily Caller]
| Jan 26, 2015 | Shimon Prokupecz: "FBI in New York has arrested a man for acting as a Russian Spy collecting Intel in the Bronx."
| Jan 28, 2015 | DailyMail: "Russian 'undercover agent'...in New York is a former Moscow tax inspector"
| Feb 09, 2015 | Senate forms Ukrainian caucus to further Ukrainian interests. John McCain is a member.
| Feb 16, 2015 | Last appearance of Trump on The Apprentice
| Feb 25, 2015 | @JamesPindell: "Corey Lewandowski, who was with Trump in Iowa last month, will head up Trump efforts in NH"
| Mar 02, 2015 | NYT: "Hillary Clinton Used Personal Email Account at State Dept., Possibly Breaking Rules"
| Mar 25, 2015 | Combetta, Bleachbit
| Mar 30, 2015 | Amitabh Desai email to Team Clinton re Pinchuk feeling neglected, demands attention
| Apr 23, 2015 | Daily Mail: "Hillary under siege as Clinton Foundation's donors and Bill's speaking fees overlap with companies her State Department helped – including Russian nuclear interests – and now the foundation will re-file its tax returns"
| May 15, 2015 | Politico: "Michael Morell: Foreign governments have Hillary's email"
| May 19, 2015 | Peter Kadzik tips off John Podesta about upcoming investigation into HRC State Dept emails
| Jun 03, 2015 | Marie Harf emails Carlos DeJuana, mentions Robert Otto and Anne Joblonski, says she was handler for Bob Levinson
| Jun 04, 2015 | CNN: "China might be building vast database of federal worker info, experts say"
| Jun 15, 2015 | CNBC: "Donald Trump announces candidacy for president"
| Jun 22, 2015 | CNN: "U.S. data hack may be 4 times larger than the government originally said"
| Jul 10, 2015 | CNN: "OPM government data breach impacted 21.5 million"
| Jul 10, 2015 | FBI opens investigation into Hillary Clinton email server [see: June 14, 2018 CNN]
| Jul 14, 2015 | CNN: "Landmark deal reached on Iran nuclear program"
| Jul 22, 2015 | Politico: "The man behind Trump's run" (Corey Lewandowski)
| Jul 22, 2015 | Yates releases 58-page memo, denies IG access and oversight to info collected by DOJ & FBI under Title III
| Jul 23, 2015 | Daily Beast: "Trump’s Mobbed Up, McCarthyite Mentor Roy Cohn"
| Jul 23, 2015 | FinCEN: "FinCEN Severs Access to U.S. Financial System for FBME Bank Ltd."
| Jul 27, 2015 | Russian intel gained access to DNC netowrk from July 2015 until at least July 2016 [See: June 2018 IG report]
| Aug ??, 2015 | Trump meets with Gen. Flynn, meeting lasts 90min [see: Feb 27, 2017 New Yorker]
| Aug 02, 2015 | @SopanDeb: "Trump campaign officially fires aide Sam Nunberg over racially charged Facebook posts"
| Aug 02, 2015 | @MarkHalperin: "The decision to terminate Sam Nunberg was made by campaign manager Corey Lewandowski & accepted by @realDonaldTrump. N/c from Nunberg so far"
| Aug 04, 2015 | Washington Examiner: "Will Donald Trump's ties to a criminal hurt his campaign?"
| Aug 05, 2015 | New York Post: "FBI investigation of Hillary’s emails is ‘criminal probe’"
| Aug 06, 2015 | Politico: "Trump's debate 'dirty trickster'" (Roger Stone)
| Aug 08, 2015 | @costareports: "@realDonaldTrump has fired Roger Stone as a political adviser, per Trump in intvw w/ @washingtonpost"
| Sep ??, 2015 | Washington Free Beacon hires Fusion GPS
| Sep ??, 2015 | Yared Tamene of Mis Department Inc. receives call from FBI agent Hawkins about DNC network ("Dukes" malware)
| Sep 15, 2015 | Page: "Honestly, I thought it was weird that [?] would let you brief clapper before he got a recent update..."
| Sep 25, 2015 | Stefan Halper hired on contractor basis by DOD's ONA for a total of $244,960.00
| Sep 29, 2015 | Evelyn Farkas announces resignation to take place in late October 2015
| Oct ??, 2015 | FBI agent Hawkins leaves multiple voicemails to DNC help desk, calls not returned
| Oct 01, 2015 | Alexandra Chalupa begins investigating Trump's ties to Russia
| Oct 30, 2015 | Joseph Mifsud's profile disappears from a London legal practice's website, reports qz.com
| Nov ??, 2015 | FBI agent Hawkins calls DNC help desk, says DNC server "calling home" to Moscow as part of a state-sponsored attack
| Nov ??, 2015 | Papadopoulos joins Carson campaign
| Nov 03, 2015 | Felix Sater emails Michael Cohen, says they can get Trump elected president [see: Aug 30, 2017 Emptywheel]
| Dec 04, 2015 | Daniel Jones leaves Feinstein staff, Congressional records show
| Dec 05, 2015 | AP: "Trump Picked Stock Fraud Felon as Senior Advisor"
| Dec 07, 2015 | Stefan Halper and Peter Navarro host round table for Navarro's book, "Crouching Tiger"
| Dec 10, 2015 | ABC: "Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia"
| Dec 10, 2015 | Gen. Flynn photographed seated next to Putin for Russia Today's 10th anniversary
| Dec 14, 2015 | Aaron Zebley sends letter to DOJ, asks for Justin Cooper's Blackberry files (not HRC's) be destroyed
| Dec 15, 2015 | DOJ sends letter to Zebley, agrees that the FBI will not review the back-up Blackberry files
| Dec 15, 2015 | Dana Boente confirmed EDVA U.S. Attorney
| Dec 18, 2015 | NYT: "Democrats and Bernie Sanders Clash Over Data Breach"
| Dec ??, 2015 | GCHQ picks up intelligence about Trump associates connected to Russians (later revealed in 2017 in The Guardian)
| Jan ??, 2016 | Carter Page briefly speaks with Corey Lewandowski 
| Jan ??, 2016 | Mikk Marran confirmed as Director General of the Estonian Foreign Intelligence Service
| Jan ??, 2016 | Poteyev pulled over in his Lexus and given a traffic ticket [see: Oct 3, 2018 BuzzFeed]
| Jan 04, 2016 | Natalia Veselnitskaya's U.S. visa parole extension request is denied
| Jan 06, 2016 | Mis Department Inc.'s Yared Tamene meets with FBI agent Hawkins to install "a robust set of monitoring tools"
| Jan 07, 2016 | Natalia Veselnitskaya's U.S. visa parole expires
| Jan 07, 2016 | London Review of Books: "Seymour M. Hersh on US intelligence sharing in the Syrian war" (Flynn, Turkey, ISIS)
| Jan 11, 2016 | DOJ sends letter Aaron Zebley, DOJ memorializes agreement that Zebley will back-up all relevant email communications
| Jan 11, 2016 | Zebley gives the data to Hillary lawyers and informs the DOJ (per their agreement).
| Jan 15, 2016 | Alexandra Chalupa warns DNC about Paul Manafort
| Jan 17, 2016 | CNN: "U.S. to pay Iran $1.7 billion in legal settlement"
| Jan 28, 2016 | Reception for the Cuba Consortium hosted at the Cuban Embassy in Washington is attended by Daniel Jones and Ben Rhodes
| Jan 29, 2016 | FBI.gov: "Andrew McCabe Named Deputy Director of the FBI"
| Feb ??, 2016 | Steele admonished by FBI (what in the world does this mean?), per August 8, 2018 Judicial Watch FOIA request
| Feb 01, 2016 | Politico: "How Trump Did It"
| Feb 04, 2016 | Email mentions dinner plans among Rinat Akhmetshin, Glenn Simpson, and Natalia Veselnitskaya
| Feb 08, 2016 | Adm. Rogers announces spy/hacking reorganization project
| Feb 08, 2016 | Adm. Rogers meets GCHQ's Hannigan at Bletchley Park
| Feb 06, 2016 | Strzok: "Agengy F*ed up big."
| Feb 12, 2016 | Munich Security Conference attended by Clapper, Kerry, Soros, Hannigan, McCain, Dmitri Alperovich
| Feb 16, 2016 | Roger Stone: "Jeb! and the Bush Crime Family: The Inside Story of an American Dynasty "
| Feb 21, 2016 | Farkas emails Podesta, asks to do surrogate work for Clinton campaign in relation to Eastern European communities
| Feb 26, 2016 | The Moscow Times: "Putin Appoints New Head of Russian State Development Bank VEB"
| Feb 28, 2016 | Manafort contacts Trump campaign
| Mar ??, 2016 | Podesta Group contracts with Sberbank, charges $20k/mo plus expenses until Sep 2016 [see: Mar 6, 2017 Daily Caller]
| Mar 01, 2016 | Yared Tamene of Mis Department, Inc. meets twice in person with FBI to confirm that Agent Hawkins is a real agent
| Mar 01, 2016 | The RSA Conference speakers include Dmitri Alperovitch, Shawn Henry, DOJ's John Carlin, and AG Loretta Lynch
| Mar 02, 2016 | Strzok attends a MYE briefing
| Mar 02, 2016 | @carterwpage: "...I spoke with FBI / SDNY Prosecutors whom I had helped. My records show March 2, 2016."
| Mar 04, 2016 | Ben Carson suspends campaign after a disappointing presidential debate at Fox Theater in Michigan
| Mar 05, 2016 | Donna Brazile emails a CNN debate question in advance to John Podesta
| Mar 06, 2016 | Papadopoulos learns he'll be joining the Trump campaign
| Mar 08, 2016 | Loretta Lynch defers a future seat on the Supreme Court
| Mar 09, 2016 | DOJ oversight personnel discover they had disclosed raw FISA information to private contractors
| Mar 09, 2016 | "need to try to fix a HUGE who f-up"
| Mar 09, 2016 | Reuters: "FBI penetrated New York-based Russian spy ring using hidden recorders"
| Mar 10, 2016 | First phishing attempts made against the Clinton Campaign, all but one bounce back unopened
| Mar 11, 2016 | Second round of phishing attempts, this time to senior Clinton officials
| Mar 11, 2016 | Michelle Fields files charges against Corey Lewandowski
| Mar 11, 2016 | Yahoo: "Russian banker pleads guilty in US 'spy ring'"
| Mar 11, 2016 | Bahrara, John P. Carlin announce indictment of Evgeny Buryakov
| Mar 14, 2016 | Brennan makes undisclosed trip to Moscow (RVS, FSB, GRU, but not Foreign Ministry)
| Mar 14, 2016 | Papadopoulos meets Joseph Mifsud in Italy, Misfus promises contacts with Russian officials
| Mar 15, 2016 | Rubio suspends campaign after losing Florida
| Mar 15, 2016 | Manafort begins to have ties with Trump campaign
| Mar 16, 2016 | Strzok: "Just waiting for Baker, then done", Lisa Page: "Our guy is talking..."
| Mar 18, 2016 | The Observer:"Hillary Clinton Has an NSA Problem"
| Mar 19, 2016 | John Podesta clicks on a link from a phishing scam
| Mar 19, 2016 | Alexandra Chalupa starts consulting with DNC on Trump's Russia ties
| Mar 21, 2016 | CNN: "Donald Trump unveils foreign policy advisers"
| Mar 24, 2016 | Papadopoulos sends email ("Meeting with Russian Leadership -- including Putin") to Trump campaign
| Mar 24, 2016 | Papadopoulos meets with Mifsud, Putin's "niece" introduced
| Mar 25, 2016 | Alexandra Chalupa makes prediction and warns Ukraine’s ambassador to the U.S. about Paul Manafort
| Mar 25, 2016 | @billbrowder: "Carter Page is completely out of his mind in relation to Russia "
| Mar 26, 2016 | Page: "You get all our oconus lures approved? ;)"
| Mar 28, 2016 | NYT: "Donald Trump Hires Paul Manafort to Lead Delegate Effort"
| Mar 29, 2016 | Strzok texts Lisa Page about an article explaining Combetta's use of BleachBit
| Mar 30, 2016 | Alexandra Chalupa becomes hot topic after Manafort research pays off
| Mar 30, 2016 | Politico: "Tip Sheets: Etsy registers" (first mention of Sberbank hiring Podesta Group)
| Mar 31, 2016 | Nellie Ohr emails Robert Otto, mentions Aras Agalarov 
| Mar 31, 2016 | Papadopoulos attends national security meeting with other foreign policy members of the Trump campaign in DC.
| Apr ??, 2016 | Perkins Coie hires Fusion GPS
| Apr ??, 2016 | Perkins Coie hires Fusion GPS
| Apr 01, 2016 | Council on Foreign Relations-see CrowdStrike, Evelyn Farkas, Atlantic Council
| Apr 02, 2016 | Lisa Page: "So look, you say we text on that phone when we talk about hillary because it can't be traced..."
| Apr 03, 2016 | The Guardian: "Panama Papers"
| Apr 03, 2016 | Deripaska is suing Manafort in Cayman Islands court for $26m over a 2008 offshore entity [see: Apr 29, 2016 McClatchy]
| Apr 03, 2016 | Politico: "Trump and Putin: Two Liars Separated at Birth?" (Evelyn Farkas)
| Apr 05, 2016 | NYT: "Donald Trump Settled a Real Estate Lawsuit, and a Criminal Case Was Closed" (Trump SoHo Manhattan, Felix Sater)
| Apr 05, 2016 | Olga Bielkova reportedly seeks meetings with five dozen members of U.S. Congress and reporters
| Apr 05, 2016 | FBI General Counsel Jim Baker attends the Global Privacy Summit, along with Michael Sussmann (Perkins Coie)
| Apr 07, 2016 | The Observer: "Panama Papers Reveal Clinton’s Kremlin Connection"
| Apr 07, 2016 | Free Beacon: "Trump Elevates Former Putin Ally Adviser to Senior Campaign Role" (Manafort to lead RNC Convention)
| Apr 09, 2016 | Strzok: "Did you have to invoke the D/Dd?" Lisa: ",yep. Done, but I need to call Bill with the storm that's coming"
| Apr 09, 2016 | ONA Director Baker rats on Strzok to FBI Counsel Baker wrt March 9 illegal access [see: April 10, 2016 Strzok texts[
| Apr 11, 2016 | Glenn Simpson attends Logan Symposium, along with Jane Meyer (New Yorker) and Ken Vogel (Politico)
| Apr 11, 2016 | Manafort: “How do we use to get whole”, “Has OVD operation seen?”
| Apr 12, 2016 | Olga Bielkova and a colleague meet with David Kramer, Liz Zentos, and Michael Kimmage
| Apr 16, 2016 | Barbara Westgate appointed Director of Washington Headquarters Services (DOD Field Activity, agency that paid Halper)
